sample_id,sensor_name,fx,fy,cx,cy,z_scaling,z_offset_mm
0,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
0,tag_to_base,0,0,0,0,1,0
1,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
1,tag_to_base,0,0,0,0,1,0
2,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
2,tag_to_base,0,0,0,0,1,0
3,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
3,tag_to_base,0,0,0,0,1,0
4,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
4,tag_to_base,0,0,0,0,1,0
5,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
5,tag_to_base,0,0,0,0,1,0
6,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
6,tag_to_base,0,0,0,0,1,0
7,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
7,tag_to_base,0,0,0,0,1,0
8,right_wrist_camera_to_base,433.20504760742188,432.912841796875,419.66604614257812,235.44828796386719,1,0
8,tag_to_base,0,0,0,0,1,0
